Unnamed,이름,이메일,견종,견종_코드,크기,크기_코드,색상,색상_코드,연령대,연령대_코드,상태,상태_코드,브랜드,브랜드_코드,사료,사료_코드,평점,후기,주소,국가,시도,시군구,CP,CF,CR,CB,CA,PO,WA,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,field_74,field_75,field_76,field_77,field_78,field_79,field_80,field_81,field_82,field_83
241,꼼이,dummy322@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,성견,A,유루증,EP,go !,GO,연어 포뮬러,GO001,5,"강아지가 눈물이 많아서 눈물자국 때문에 지인의 도움으로 먹이게 되었는데
잘 먹고 탈없이 자라고 있습니다~~",경기도 남양주시,대한민국,경기도,남양주시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
242,마롱,dummy359@dummy.dummy,말티즈 ,SML,소형견,S,퓨어화이트,PH,성견,A,피부병,SD,Go 사료 연어,GO,연어 포뮬러,GO001,5,"네추럴코어를 1년급여했는데 모두 질은 변을 자주 봄. 고 사료로 바꾼후 설사도 안하고 
변도 건강해보여 비싸도 계속 이 사료로 급여할 생각입니다~",경기도 안성시,대한민국,경기도,안성시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
243,루,dummy360@dummy.dummy,푸들,SPD,소형견,S,그레이,GR,성견,A,피부병,SD,Go 사료 연어,GO,연어 포뮬러,GO001,5,네추럴코어를 1년급여했는데모두 질은 변을 자주 봄. 고 사료로 바꾼후 설사도 안하고 변도 건강해보여 비싸도 계속 이 사료로 급여할 생각입니다~,경기도 안성시,대한민국,경기도,안성시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
244,호빵,dummy432@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,Go!,GO,연어 포뮬러,GO001,2,"냄새도 너무 짙고, 기름기가 많아 보임.",충남 아산시,대한민국,충청남도,아산시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
245,순철이,dummy446@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,성견,A,피부병,SD,Go!연어,GO,연어 포뮬러,GO001,2,"우리아이 입 주위 피부가 붉게 변하고 귀에서 열이나기 시작해서 몇 알 주고, 급여 정지함.",부산 사상구,대한민국,부산광역시,사상구,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
246,망둥이,dummy520@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,Go!연어,GO,연어 포뮬러,GO001,4,기호성이 좋음. 가리지 않고 잘먹어서 예쁘다,서울 은평구,대한민국,서울특별시,은평구,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
247,장군이,dummy733@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,go 연어,GO,연어 포뮬러,GO001,4,눈물 사료라고 해서 먹이는 중임. 조금씩 좋아지고 있음.,전남 여수시,대한민국,전라남도,여수시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
248,모모,dummy780@dummy.dummy,요크셔테리어,SYT,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,go 연어,GO,연어 포뮬러,GO001,4,유류증 때문에 특유의 요크셔테리어 눈물 냄새가 났다. 이 사료를 먹은 2주후 냄새는 많이 사라지고 눈물도 좋아지고 있다.,경남 사천시,대한민국,경상남도,사천시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
249,소롱이,dummy838@dummy.dummy,포메라니안,SPM,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,go 연어,GO,연어 포뮬러,GO001,2,씹기가 힘들어서 그런지 별로 좋아하지 않는다.,광주 동구,대한민국,광주광역시,동구,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
250,두부,dummy900@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,go 연어,GO,연어 포뮬러,GO001,5,눈 주변에 눈물이 흥건했는데 고연어 사료를 먹이고 난 후 많은 효과를 보았다. 사료 알맹이가 커서 씹어 먹을 수 있어서 좋다. 작은 알맹이는 그냥 삼켜버려 토했던 적도 있다.,충북 충주시,대한민국,충청북도,충주시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
251,희망이,dummy907@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,go 연어,GO,연어 포뮬러,GO001,1,유류증으로 사료를 바꿔서 급여하였지만 오히려 역효과만 났다.,경북 상주시,대한민국,경상북도,상주시,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
252,복순이,dummy916@dummy.dummy,치와와,SCH,소형견,S,블랙탄,BT,성견,A,장염 및 소화기계,GP,go 연어,GO,연어 포뮬러,GO001,4,변 냄새도 좋고 잘 소화시킨다.,대구 북구,대한민국,대구광역시,북구,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
253,도리,dummy942@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,go 연어,GO,연어 포뮬러,GO001,4,눈물도 확실히 좋아지고 변 상태도 좋다.,인천 중구,대한민국,인천광역시,중구,24.0,12.0,7.0,4.5,1.1,0.8,10.0,ESFP,BW,CPOT,BOO,ESAL,HCO,CAPP,HNFE,BL,BOQ,GCALC,GPC,GSCH,DKP,FMMI,CCHR,FAA,HLACA,HENTE,HASPN,HASPO,CYSE,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
254,조이,dummy47@dummy.dummy,푸들,SPD,소형견,S,퓨어화이트,PH,성견,A,치아 및 치주 질환,DD,아카나,AC,어덜트 스몰브리드,AC011,4,냄새는 있으나 똥은 완벽해서 먹이고 있어요.,서울,대한민국,서울특별시,blank,31.0,17.0,7.0,5.0,1.4,1.1,12.0,AOC,AC,ATP,BLE,BPE,BKB,HCF,AFC,EHP,AE,ES,HHO,CAL,BLE,BPE,BFP,ACC,DKP,CPU,CBS,CPAR,CK,CSP,CMR,CTT,CCAR,CAPP,CPEA,AFDLC,AFDTL,CCR,CBL,CCHR,CTU,HMT,CBUR,HL,CMMR,HRH,FCZ,FVE,FVE,HENTE,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
255,푸실,dummy631@dummy.dummy,차우차우,BCC,대형견,B,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,아카나,AC,어덜트 스몰브리드,AC011,1,변에 물이 많음. 사료 바꿀예정,경남 김해,대한민국,경상남도,김해시,31.0,17.0,7.0,5.0,1.4,1.1,12.0,AOC,AC,ATP,BLE,BPE,BKB,HCF,AFC,EHP,AE,ES,HHO,CAL,BLE,BPE,BFP,ACC,DKP,CPU,CBS,CPAR,CK,CSP,CMR,CTT,CCAR,CAPP,CPEA,AFDLC,AFDTL,CCR,CBL,CCHR,CTU,HMT,CBUR,HL,CMMR,HRH,FCZ,FVE,FVE,HENTE,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
256,율무,dummy48@dummy.dummy,푸들,SPD,소형견,S,퓨어화이트,PH,성견,A,비만,OB,Go!,GO,칠면조 포뮬러,GO002,5,맛있게 잘 먹더라구요 아주 만족합니다!!,대전광역시,대한민국,대전광역시,blank,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
257,찐빵이,dummy62@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,Go!,GO,칠면조 포뮬러,GO002,5,바뀐지 3개월 정도 됬는데 응가 만족스럽다. ,대전 서구 도안동,대한민국,대전광역시,서구,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
258,다로미,dummy332@dummy.dummy,믹스견,MMX,중형견,M,퓨어화이트,PH,성견,A,비만,OB,go!,GO,칠면조 포뮬러,GO002,5,거부감없이 잘먹어서 좋아요~~♡♡,경기 남양주시,대한민국,경기도,남양주시,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
259,크림이,dummy367@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,노견,S,비만,OB,Go!,GO,칠면조 포뮬러,GO002,2,사료가 맛이 없는지 먹지를 않아요. 다른 사료로 또 바꿔야할것같아요…,대전,대한민국,대전광역시,blank,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
260,동체,dummy523@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,Go!칠면조,GO,칠면조 포뮬러,GO002,5,기호성이 좋음. 변 색도 좋고 만족스럽다.,서울 은평구,대한민국,서울특별시,은평구,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
261,민수,dummy549@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,성견,A,유루증,EP,Go!,GO,칠면조 포뮬러,GO002,5,유류증이 완화됨. 만족스러운 사료다,강원 강릉시,대한민국,강원도,강릉시,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
262,퐁이,dummy615@dummy.dummy,코카스페니얼,MCS,중형견,M,퓨어화이트,PH,성견,A,피부병,SD,Go!,GO,칠면조 포뮬러,GO002,3,"기호성은 좋으나, 피부는 좋아지지 않음.",경남 창원,대한민국,경상남도,창원시,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
263,셀리,dummy642@dummy.dummy,달마시안,BDL,대형견,B,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,Go!,GO,칠면조 포뮬러,GO002,2,변 상태가 좋지 않음. 우리 강아지에게 잘 안맞는것같아서 바꿀예정,경북 포항,대한민국,경상북도,포항시,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
264,반도,dummy943@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,go 칠면조,GO,칠면조 포뮬러,GO002,5,go 연어와 칠면조를 섞여 먹이고 있는데 눈물도 확실히 좋아지고 변 생태도 좋다.,인천 연수구,대한민국,인천광역시,연수구,25.0,13.0,9.0,4.0,1.0,0.9,10.0,ATM,ATP,CTA,BPE,HCO,HCCO,HNFE,GCALP,HSALO,GSCH,GPC,CCHR,HCCHL,FMMI,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
265,마리,dummy49@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,슬개골 탈구,LP,네츄럴발란스,NB,울트라 프리미엄 W.B.H 닭 & 오리 포뮬라,NB003,5,만족! 맛있게 먹는 것 같아서 기분 좋습니다.,대전광역시 중구,대한민국,대전광역시,중구,23.0,13.0,0.0,3.0,1.2,1.0,10.0,AOC,BBRI,BOO,ACMP,CPOT,BRB,HCF,CCAR,ADP,BFP,BOO,HNFE,CTPO,BL,HMHD,GS,GPC,FMETH,HCCHL,GPDP,FMMI,FPA,FLTRY,FMV,HCA,TA,CCR,CBL,CSP,FLLYS,DKP,CYSE,HROS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
266,토비,dummy136@dummy.dummy,시츄말티즈믹스,SMX,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,네츄럴발란스,NB,울트라 프리미엄 W.B.H 닭 & 오리 포뮬라,NB003,3,보통 다른 사료들이랑 비슷비슷 합니다. 딱히 막 좋은건 모르겠음,대전 서구,대한민국,대전광역시,서구,23.0,13.0,0.0,3.0,1.2,1.0,10.0,AOC,BBRI,BOO,ACMP,CPOT,BRB,HCF,CCAR,ADP,BFP,BOO,HNFE,CTPO,BL,HMHD,GS,GPC,FMETH,HCCHL,GPDP,FMMI,FPA,FLTRY,FMV,HCA,TA,CCR,CBL,CSP,FLLYS,DKP,CYSE,HROS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
267,벨라,dummy141@dummy.dummy,비숑프리제,MBF,중형견,M,퓨어화이트,PH,성견,A,유루증,EP,네츄럴발란스,NB,울트라 프리미엄 W.B.H 닭 & 오리 포뮬라,NB003,3,아직 잘 모르겠음 더 먹여봐야 알 것 같음,대전 서구,대한민국,대전광역시,서구,23.0,13.0,0.0,3.0,1.2,1.0,10.0,AOC,BBRI,BOO,ACMP,CPOT,BRB,HCF,CCAR,ADP,BFP,BOO,HNFE,CTPO,BL,HMHD,GS,GPC,FMETH,HCCHL,GPDP,FMMI,FPA,FLTRY,FMV,HCA,TA,CCR,CBL,CSP,FLLYS,DKP,CYSE,HROS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
268,지코,dummy153@dummy.dummy,빠삐용,SPP,소형견,S,퓨어화이트,PH,성견,A,장염 및 소화기계,GP,네츄럴발란스,NB,울트라 프리미엄 W.B.H 닭 & 오리 포뮬라,NB003,5,크기와 냄새가 좋음 맘에들어요,유성구 반석동,대한민국,대전광역시,유성구,23.0,13.0,0.0,3.0,1.2,1.0,10.0,AOC,BBRI,BOO,ACMP,CPOT,BRB,HCF,CCAR,ADP,BFP,BOO,HNFE,CTPO,BL,HMHD,GS,GPC,FMETH,HCCHL,GPDP,FMMI,FPA,FLTRY,FMV,HCA,TA,CCR,CBL,CSP,FLLYS,DKP,CYSE,HROS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
269,솔라,dummy276@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,강아지,P,유루증,EP,네츄럴 발란스,NB,울트라 프리미엄 W.B.H 닭 & 오리 포뮬라,NB003,5,냄새도 덜하고 맛있게 잘 먹는것 같아서 보기 좋다. 꾸준히 애용할 생각이다.,대전 서구,대한민국,대전광역시,서구,23.0,13.0,0.0,3.0,1.2,1.0,10.0,AOC,BBRI,BOO,ACMP,CPOT,BRB,HCF,CCAR,ADP,BFP,BOO,HNFE,CTPO,BL,HMHD,GS,GPC,FMETH,HCCHL,GPDP,FMMI,FPA,FLTRY,FMV,HCA,TA,CCR,CBL,CSP,FLLYS,DKP,CYSE,HROS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
270,두부,dummy690@dummy.dummy,시츄,SST,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,내추럴발란스울트라포뮬라,NB,울트라 프리미엄 W.B.H 닭 & 오리 포뮬라,NB003,2,눈물이 여전히 많이 남. 그닥 좋은 효과를 모르겠음,대전 대덕구,대한민국,대전광역시,대덕구,23.0,13.0,0.0,3.0,1.2,1.0,10.0,AOC,BBRI,BOO,ACMP,CPOT,BRB,HCF,CCAR,ADP,BFP,BOO,HNFE,CTPO,BL,HMHD,GS,GPC,FMETH,HCCHL,GPDP,FMMI,FPA,FLTRY,FMV,HCA,TA,CCR,CBL,CSP,FLLYS,DKP,CYSE,HROS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
